Event ID, IsNuMuCC, Energy, Number of muon, Is outgo, Last Plate
101015, 1, 159.723, 1, 0, 300
100211, 1, 225.296, 1, 1, 267
103212, 0, -999, 0, 0, -999
104133, 1, 88.9922, 2, 1, 41
105911, 1, 1116.99, 1, 0, 300
107442, 0, -999, 0, 0, -999
108676, 0, -999, 0, 0, -999
101106, 1, 1181.22, 1, 0, 300
102147, 0, -999, 0, 0, -999
103278, 0, -999, 0, 0, -999
104145, 1, 30.9871, 1, 1, 188
105923, 1, 572.424, 1, 0, 300
107678, 1, 724.741, 1, 0, 300
108784, 1, 661.697, 1, 0, 300
100113, 0, -999, 0, 0, -999
102210, 0, -999, 0, 0, -999
103326, 1, 1533.58, 1, 0, 300
104147, 1, 709.127, 1, 0, 300
105958, 1, 421.079, 1, 0, 300
100768, 1, 88.7183, 1, 0, 300
109097, 1, 28.622, 1, 1, 144
101173, 1, 384.673, 1, 0, 300
102237, 1, 353.775, 1, 0, 300
103339, 0, -999, 0, 0, -999
104180, 0, -999, 0, 0, -999
100599, 1, 262.924, 1, 0, 300
100771, 1, 243.208, 1, 0, 300
109126, 0, -999, 0, 0, -999
101212, 0, -999, 0, 0, -999
102274, 0, -999, 0, 0, -999
103386, 1, 82.5097, 1, 1, 216
104206, 0, -999, 0, 0, -999
106045, 1, 2804.9, 1, 0, 292
107787, 0, -999, 0, 0, -999
100920, 1, 140.27, 1, 0, 300
101243, 1, 691.784, 2, 0, 238
102415, 1, 91.5739, 1, 0, 300
103438, 1, 106.742, 1, 0, 300
104216, 1, 614.765, 1, 0, 300
106278, 1, 315.261, 1, 0, 300
107858, 0, -999, 0, 0, -999
109310, 1, 1037.35, 1, 0, 105
100128, 1, 354.219, 1, 0, 300
102503, 1, 56.1922, 2, 1, 199
103460, 1, 1416.65, 2, 0, 241
104444, 1, 1585.87, 1, 0, 300
100627, 0, -999, 0, 0, -999
100788, 1, 40.3399, 1, 1, 261
109456, 1, 15.4878, 1, 1, 229
101380, 1, 310.84, 1, 0, 300
102585, 0, -999, 0, 0, -999
103536, 0, -999, 0, 0, -999
104668, 1, 123.545, 1, 1, 78
100063, 0, -999, 0, 0, -999
108046, 1, 3091.48, 1, 0, 300
109494, 1, 1279.87, 2, 0, 149
101441, 1, 534.841, 1, 0, 300
102741, 1, 24.3043, 1, 0, 300
103778, 1, 212.359, 1, 0, 300
104812, 1, 158.952, 1, 0, 300
106501, 0, -999, 0, 0, -999
108170, 0, -999, 0, 0, -999
109533, 0, -999, 0, 0, -999
101516, 1, 1149.83, 1, 0, 300
102921, 0, -999, 0, 0, -999
103790, 1, 1271.8, 1, 0, 300
105137, 1, 560.74, 1, 0, 300
106590, 1, 1281.29, 1, 0, 300
108399, 0, -999, 0, 0, -999
109571, 1, 273.928, 1, 1, 92
101584, 1, 166.927, 1, 0, 300
102950, 1, 37.4255, 2, 1, 131
103827, 1, 146.17, 1, 0, 300
105419, 0, -999, 0, 0, -999
106600, 1, 75.9976, 1, 0, 300
100846, 0, -999, 0, 0, -999
109670, 1, 98.6204, 1, 1, 271
101586, 1, 743.502, 1, 0, 300
102995, 1, 502.432, 2, 0, 202
103898, 1, 134.17, 1, 0, 300
105732, 1, 864.03, 1, 0, 300
106752, 0, -999, 0, 0, -999
108515, 0, -999, 0, 0, -999
100979, 1, 289.223, 1, 0, 300
101671, 1, 1365.19, 2, 0, 173
100303, 1, 1299.3, 1, 0, 300
103901, 0, -999, 0, 0, -999
105791, 1, 181.975, 1, 0, 300
106830, 1, 12.6505, 2, 1, 141
108590, 1, 115.148, 1, 0, 300
109859, 0, -999, 0, 0, -999
101801, 1, 181.573, 1, 0, 300
103084, 1, 29.0978, 2, 1, 155
103939, 1, 657.917, 1, 0, 300
105876, 0, -999, 0, 0, -999
107129, 0, -999, 0, 0, -999
100863, 0, -999, 0, 0, -999
100202, 0, -999, 0, 0, -999
103110, 1, 575.246, 1, 0, 300
104023, 0, -999, 0, 0, -999
105879, 1, 52.6314, 1, 1, 128
107272, 0, -999, 0, 0, -999
100864, 0, -999, 0, 0, -999
